"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         291,      -8.341520624,      -8.335658352,      -8.560903651,      -8.289050485
          0,           0,         292,      -8.341525051,      -8.335660693,      -8.560896798,      -8.289052333
          0,           0,         293,      -8.341520719,      -8.335658437,      -8.560903713,      -8.289050581
          0,           0,         294,      -8.341525137,      -8.335660776,      -8.560896856,      -8.289052419
          0,           0,         295,      -8.341520801,      -8.335658511,      -8.560903766,      -8.289050664
          0,           0,         296,       -8.34152521,      -8.335660846,      -8.560896905,      -8.289052491
          0,           0,         297,      -8.341520872,      -8.335658574,      -8.560903811,      -8.289050735
          0,           0,         298,      -8.341525294,       -8.33566092,      -8.560896963,      -8.289052571
          0,           0,         299,      -8.341521305,      -8.335658928,      -8.560904163,      -8.289051145
          0,           0,         300,      -8.341528128,      -8.335663037,      -8.560899232,      -8.289055134
          0,           0,         301,      -8.341559262,      -8.335689466,      -8.560936148,      -8.289086693
          0,           0,         302,      -8.341806644,       -8.33587005,      -8.561122267,      -8.289306582
          0,           0,         303,       -8.34534321,      -8.338775638,      -8.564220791,      -8.292616762
          0,           0,         304,      -8.367988544,      -8.355397405,      -8.582701928,      -8.312915455
          0,           0,         305,       -8.72162798,      -8.646530713,      -8.896919072,      -8.642230916
          0,           0,         306,      -9.082026312,      -9.010776817,      -9.203347511,      -8.989559372
