"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
58, 3.560400009160000e-01, -5.933561549045978e-02, 2.360693359915369e+02, -1.254031315717939e+00, -3.049358481904194e-02, 8.236887648498929e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.372435019905424e-01
59, 3.409900069240000e-01, -5.963847719943702e-02, 2.431631184521263e+02, -1.279248063480875e+00, -1.936635521161793e-02, 8.465655406136315e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.447140027015903e-01
60, 3.261100053790000e-01, -5.985254444802346e-02, 2.510517955488982e+02, -1.306786174003279e+00, -6.304500175592312e-03, 8.730118024787462e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.435689130539486e-02
61, 3.113999962810000e-01, -5.997565198183213e-02, 2.586241877497390e+02, -1.332776647897654e+00, 8.432256222813284e-03, 8.974976043051805e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.761392547328820e-02
62, 2.968699932100000e-01, -6.000550062925582e-02, 2.651999178221386e+02, -1.355167583067283e+00, 2.409241042352320e-02, 9.190095774543277e-04, 0.000000000000000e+00, 0.000000000000000e+00, -5.748043543118343e-02
63, 2.825500071050000e-01, -5.994005483718394e-02, 2.720228590108614e+02, -1.378343993922590e+00, 3.983744899085107e-02, 9.407488642120398e-04, 0.000000000000000e+00, 0.000000000000000e+00, -7.249996787686179e-02
64, 2.684499919410000e-01, -5.977765596976551e-02, 2.802543671909380e+02, -1.406398876147359e+00, 5.680195783639013e-02, 9.679214454526890e-04, 0.000000000000000e+00, 0.000000000000000e+00, -8.421460660422432e-02
65, 2.545700073240000e-01, -5.951657836311273e-02, 2.911374798548350e+02, -1.443497439855338e+00, 7.539174385018810e-02, 1.003035629560852e-03, 0.000000000000000e+00, 0.000000000000000e+00, -9.959930752325241e-02
66, 2.409400045870000e-01, -5.915585896897953e-02, 3.041907612128230e+02, -1.487954599281914e+00, 9.661158526560709e-02, 1.045231219304327e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.093913987782018e-01
67, 2.275699973110000e-01, -5.869456802648413e-02, 3.174438268876540e+02, -1.532901376649977e+00, 1.200879564656646e-01, 1.086780747585600e-03, 0.000000000000000e+00, 0.000000000000000e+00, -9.894609142733347e-02
68, 2.144699990750000e-01, -5.813197420944613e-02, 3.262947073212018e+02, -1.562357676874125e+00, 1.450873427095329e-01, 1.113831193040296e-03, 0.000000000000000e+00, 0.000000000000000e+00, -5.705154570921284e-02
69, 2.016600072380000e-01, -5.746811193675738e-02, 3.256879976812261e+02, -1.558834946049770e+00, 1.692615705153217e-01, 1.110132341507140e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.014495498349226e-02
70, 1.891400069000000e-01, -5.670228146432130e-02, 3.128832140807123e+02, -1.512627735006134e+00, 1.901510699814357e-01, 1.067954377973098e-03, 0.000000000000000e+00, 0.000000000000000e+00, 7.629484828612317e-02
71, 1.769299954180000e-01, -5.583513598033686e-02, 2.905400402325468e+02, -1.432981111311098e+00, 2.073747403636159e-01, 9.966177201701505e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.075417490582399e-01
72, 1.650400012730000e-01, -5.486709202536137e-02, 2.664639336207601e+02, -1.346722092102355e+00, 2.232150398402581e-01, 9.204030400406571e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.821693196603848e-02
73, 1.534900069240000e-01, -5.379977779145956e-02, 2.483959244162568e+02, -1.280843678175010e+00, 2.420034803794749e-01, 8.638145617654893e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.625271826016038e-02
74, 1.422899961470000e-01, -5.263443049277360e-02, 2.391960331404949e+02, -1.245471790408200e+00, 2.662123783108686e-01, 8.349165931976602e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.171195397190946e-02
75, 1.314399987460000e-01, -5.137133628795417e-02, 2.355283041936486e+02, -1.228924207943809e+00, 2.944906058122275e-01, 8.227858621806315e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.985707855099541e-02
76, 1.209499984980000e-01, -5.001187382363489e-02, 2.316873670937382e+02, -1.211194973645230e+00, 3.236007351135797e-01, 8.099388974855541e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.052430828673846e-02
77, 1.108499988910000e-01, -4.856066993422563e-02, 2.246394488730136e+02, -1.181417852227762e+00, 3.513061981071710e-01, 7.867729663758889e-04, 0.000000000000000e+00, 0.000000000000000e+00, -4.252902043179613e-03
78, 1.011300012470000e-01, -4.701715290498424e-02, 2.147744548587274e+02, -1.140705325600069e+00, 3.780868627667602e-01, 7.550465810435516e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.364440034945759e-03
79, 9.181000292300000e-02, -4.538527151431038e-02, 2.040825570749824e+02, -1.095895749661496e+00, 4.056241082116622e-01, 7.206927424158318e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.477780725488081e-03
80, 8.290000259900000e-02, -4.366791468532204e-02, 1.934640382663275e+02, -1.050039479004725e+00, 4.348798003704850e-01, 6.867328468887890e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.112073213630277e-03
81, 7.440000027400000e-02, -4.186607976498817e-02, 1.826381060569041e+02, -1.001960786092428e+00, 4.654899836985898e-01, 6.520243110719914e-04, 0.000000000000000e+00, 0.000000000000000e+00, -3.057431222319868e-03
82, 6.633000075800000e-02, -3.998513962421356e-02, 1.710977426007261e+02, -9.495782622618125e-01, 4.969646538599743e-01, 6.150852564387310e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.303815234160828e-03
