"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,         253,      -3.895504863,      -6.228624643,      -6.801706999,      -9.274765837,        -4.7145386
          0,           0,         254,      -3.889845525,      -6.223326054,      -6.797921715,      -9.268636071,      -4.713061984
          0,           0,         255,      -3.883769126,      -6.218071312,      -6.794217802,      -9.261955962,      -4.711548927
          0,           0,         256,       -3.87730534,      -6.212861676,      -6.790605564,      -9.254773889,      -4.709998823
          0,           0,         257,      -3.870487435,      -6.207698864,      -6.787094768,      -9.247146178,      -4.708411306
          0,           0,         258,      -3.863352541,        -6.2025851,      -6.783694632,      -9.239135989,      -4.706786264
          0,           0,         259,      -3.855941934,      -6.197523145,      -6.780413811,      -9.230812088,      -4.705123838
          0,           0,         260,      -3.848301175,      -6.192516301,      -6.777260384,      -9.222247508,      -4.703424431
          0,           0,         261,      -3.840480037,      -6.187568402,      -6.774241832,       -9.21351813,      -4.701688697
          0,           0,         262,      -3.832532137,      -6.182683767,      -6.771364998,      -9.204701202,      -4.699917548
          0,           0,         263,      -3.824514283,      -6.177867146,      -6.768636034,      -9.195873881,      -4.698112137
          0,           0,         264,      -3.816485552,       -6.17312363,      -6.766060326,       -9.18711181,      -4.696273857
          0,           0,         265,      -3.808506165,      -6.168458554,      -6.763642403,      -9.178487821,      -4.694404322
          0,           0,         266,      -3.800636231,      -6.163877386,      -6.761385834,      -9.170070762,      -4.692505356
          0,           0,         267,      -3.792934439,      -6.159385607,       -6.75929311,       -9.16192451,      -4.690578973
          0,           0,         268,       -3.78545678,      -6.154988589,      -6.757365531,      -9.154107152,      -4.688627361
          0,           0,         269,       -3.77825536,      -6.150691479,       -6.75560309,      -9.146670346,      -4.686652863
          0,           0,         270,      -3.771377345,      -6.146499084,      -6.754004375,      -9.139658852,      -4.684657948
          0,           0,         271,      -3.764864076,      -6.142415778,      -6.752566486,      -9.133110209,      -4.682645196
          0,           0,         272,      -3.758750357,      -6.138445416,      -6.751284987,      -9.127054536,      -4.680617273
