"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
75, 1.314399987460000e-01, -5.137133628795417e-02, 1.096212686017694e+00, 3.523649940053103e+02, -4.328152938430965e+01, 2.588182770612132e+05, 8.053279864746184e+04, 2.559224080089035e+02, 1.009826326500065e+00, -4.580425732380370e-01, 3.214385296756388e+02, -3.948278462416100e+01
76, 1.209499984980000e-01, -5.001187382363489e-02, 1.107058223245426e+00, 3.517448528662312e+02, -4.799678596993730e+01, 2.610547193371830e+05, 8.165377485064395e+04, 2.569426210635542e+02, 9.979214754927626e-01, -4.333479862658181e-01, 3.177293167427672e+02, -4.335524994270945e+01
77, 1.108499988910000e-01, -4.856066993422563e-02, 1.118727609561029e+00, 3.509377916063681e+02, -5.300830265412928e+01, 2.634576272443937e+05, 8.286332176060780e+04, 2.580288863158599e+02, 9.851931785718788e-01, -4.067022276134125e-01, 3.136936896945546e+02, -4.738267135011437e+01
78, 1.011300012470000e-01, -4.701715290498424e-02, 1.131281681463375e+00, 3.498636802319867e+02, -5.833392039505055e+01, 2.660348926877296e+05, 8.417238045000458e+04, 2.591965400903667e+02, 9.714466710440441e-01, -3.778642705138040e-01, 3.092631003972581e+02, -5.156445238253343e+01
79, 9.181000292300000e-02, -4.538527151431038e-02, 1.144746999151625e+00, 3.484710205580606e+02, -6.401236356953446e+01, 2.687907917850349e+05, 8.558489694151143e+04, 2.604461629973749e+02, 9.566559831832874e-01, -3.467471859136215e-01, 3.044087652698048e+02, -5.591835018303099e+01
80, 8.290000259900000e-02, -4.366791468532204e-02, 1.159233393379539e+00, 3.467315806893095e+02, -7.008423067944761e+01, 2.717495659831846e+05, 8.711062974799266e+04, 2.617764751451177e+02, 9.408137341815055e-01, -3.131359982906696e-01, 2.991042034067662e+02, -6.045739458482083e+01
81, 7.440000027400000e-02, -4.186607976498817e-02, 1.174790728733889e+00, 3.445489879874124e+02, -7.658405755981141e+01, 2.749178321618121e+05, 8.875839841552849e+04, 2.631960043859752e+02, 9.237908003929943e-01, -2.768364171264564e-01, 2.932854163385713e+02, -6.518953179205675e+01
82, 6.633000075800000e-02, -3.998513962421356e-02, 1.191576919411716e+00, 3.418378171963863e+02, -8.356571713923054e+01, 2.783271157696946e+05, 9.054556248285674e+04, 2.647130999089115e+02, 9.054518876070876e-01, -2.374660198165217e-01, 2.868785150396773e+02, -7.013035900400548e+01
83, 5.869000032500000e-02, -3.802635805630503e-02, 1.209715638408159e+00, 3.384656382272711e+02, -9.107305319447366e+01, 2.819992328076298e+05, 9.248859101306884e+04, 2.663392753101595e+02, 8.856123156807978e-01, -1.946620005227864e-01, 2.797894211507849e+02, -7.528467873186699e+01
84, 5.149000138000000e-02, -3.599337852580232e-02, 1.229400534632760e+00, 3.342654412520595e+02, -9.915277896162344e+01, 2.859699029291421e+05, 9.461171163105291e+04, 2.680907607452689e+02, 8.640134464194301e-01, -1.478906358814258e-01, 2.718930339101484e+02, -8.065132246850850e+01
85, 4.473999887700000e-02, -3.389028465845557e-02, 1.250965710569412e+00, 3.290107292806420e+02, -1.078504323792062e+02, 2.903024532962168e+05, 9.695502421298057e+04, 2.699947122707381e+02, 8.402356046937839e-01, -9.626854417846191e-02, 2.630053937536655e+02, -8.621373988749468e+01
86, 3.844000026600000e-02, -3.171811260404538e-02, 1.274696279693518e+00, 3.224128690085896e+02, -1.171957801904913e+02, 2.950488933975396e+05, 9.955478094575075e+04, 2.720731896643789e+02, 8.138829496796621e-01, -3.899710651389724e-02, 2.529330901366629e+02, -9.194016022284879e+01
87, 3.260000050100000e-02, -2.948109446637338e-02, 1.300963978154104e+00, 3.141316763681460e+02, -1.271948975908963e+02, 3.002803824822187e+05, 1.024548997561010e+05, 2.743454780850963e+02, 7.845419864983751e-01, 2.489116871323374e-02, 2.414607027120438e+02, -9.776973054347668e+01
88, 2.723000012300000e-02, -2.718419978786347e-02, 1.330259529827638e+00, 3.036597013048913e+02, -1.377700670311355e+02, 3.060865874745662e+05, 1.057176255532173e+05, 2.768479848404280e+02, 7.514958351566052e-01, 9.676750804556891e-02, 2.282710211775266e+02, -1.035663071318019e+02
89, 2.232000045500000e-02, -2.482329437156798e-02, 1.363114356503599e+00, 2.903404102115503e+02, -1.487128862682449e+02, 3.125630037754260e+05, 1.094119734876890e+05, 2.796165706421087e+02, 7.138959361351841e-01, 1.781522833106211e-01, 2.129978375081283e+02, -1.090978798357717e+02
90, 1.789999939500000e-02, -2.241364555514381e-02, 1.400132003569536e+00, 2.733439244517339e+02, -1.596601496629325e+02, 3.198203780465560e+05, 1.136140345253975e+05, 2.826788689425787e+02, 6.707910661883512e-01, 2.707217432721251e-01, 1.952272526839350e+02, -1.140322121456337e+02
91, 1.394999958600000e-02, -1.994492353858276e-02, 1.441968933099623e+00, 2.516998297076067e+02, -1.697502070970137e+02, 3.279781149760784e+05, 1.184076228528378e+05, 2.860580039616685e+02, 6.209521465575253e-01, 3.763222756696493e-01, 1.745528796980102e+02, -1.177211264407220e+02
92, 1.049000024800000e-02, -1.742916196961543e-02, 1.488744824875307e+00, 2.241668504516207e+02, -1.775613720803148e+02, 3.370373423355496e+05, 1.238286595910502e+05, 2.897552091374068e+02, 5.629057404851372e-01, 4.957452061755436e-01, 1.505743944200755e+02, -1.192691783799731e+02
